crop_path,source,source_ref,instance_id,view_idx,faction,unit_slug,suggested_by,confidence,labeller,split,created_at,notes
scripts/phase1/crops/genestealer_cult/1061044_3995318f2400__03.jpg,annotation,,,,genestealer_cult,aberrants,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/1078352_4e1218608d52__00.jpg,annotation,,,,genestealer_cult,achilles_ridgerunner,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__01.jpg,annotation,,,,genestealer_cult,neophyte_hybrids,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__03.jpg,annotation,,,,genestealer_cult,neophyte_hybrids,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__04.jpg,annotation,,,,genestealer_cult,neophyte_hybrids,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/10861_1954714f329e__18.jpg,annotation,,,,genestealer_cult,genestealers,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/genestealer_cult/109528_e6d3b5be9657__00.jpg,annotation,,,,genestealer_cult,,,,,,2026-04-16T22:29:40Z,
scripts/phase1/crops/space_marines/10j4au8_a534218bca89__00.jpg,annotation,,,,space_marines,captain,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/space_marines/13i43sd_3afc80ca3e19__00.jpg,annotation,,,,space_marines,sanguinary_guard,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__02.jpg,annotation,,,,tyranids,genestealers,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__19.jpg,annotation,,,,tyranids,tyranid_warriors,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__34.jpg,annotation,,,,tyranids,termagants,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/122lero_82096eaba983__57.jpg,annotation,,,,tyranids,ripper_swarms,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase1/crops/tyranids/14kujha_a92f261b1099__14.jpg,annotation,,,,tyranids,termagants,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/12id8wu_d221f7bfaaa2__00.jpg,annotation,,,,adepta_sororitas,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/15jxccy_55b03b4a9a0b__02.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/15jxccy_55b03b4a9a0b__09.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/15jxccy_55b03b4a9a0b__13.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/15jxccy_55b03b4a9a0b__17.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/15jxccy_64be0a232db6__13.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/15jxccy_64be0a232db6__15.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/18ngl8p_4796e4e7957b__01.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/18ngl8p_5109ff86aba8__05.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1bjqt5t_24875a2e7d41__00.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1bjqt5t_64ccd84906d0__00.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1caiims_04e1f897a1dd__00.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1caiims_74048e15157e__00.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1caiims_c8192cf82f31__00.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1caiims_e876d8c86751__01.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1fh5qn6_0ceda53446cc__18.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1fh5qn6_0ceda53446cc__27.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/1fh5qn6_0ceda53446cc__33.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/dakka_1007065__03.jpg,annotation,,,,adepta_sororitas,battle_sisters,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/dakka_1014375__01.jpg,annotation,,,,adepta_sororitas,,,,,,2026-04-16T22:29:40Z,target: seraphim sim=0.78
scripts/phase3/crops/adepta_sororitas/dakka_1014375__03.jpg,annotation,,,,adepta_sororitas,,,,,,2026-04-16T22:29:40Z,target: seraphim sim=0.84
scripts/phase3/crops/adepta_sororitas/dakka_1016456__00.jpg,annotation,,,,adepta_sororitas,seraphim,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adepta_sororitas/dakka_1016456__01.jpg,annotation,,,,adepta_sororitas,,,,,,2026-04-16T22:29:40Z,target: seraphim sim=0.78
scripts/phase3/crops/adeptus_mechanicus/1008739_a7ca7334973b__00.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,target: skitarii_rangers sim=0.83
scripts/phase3/crops/adeptus_mechanicus/1010049_f5e565dab33c__01.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,target: skitarii_rangers sim=0.78
scripts/phase3/crops/adeptus_mechanicus/1010049_f5e565dab33c__02.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,target: tech_priest sim=0.82
scripts/phase3/crops/adeptus_mechanicus/1010050_f2173ddb1813__00.jpg,annotation,,,,adeptus_mechanicus,skitarii_rangers,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/1010052_27fdf68d8954__00.jpg,annotation,,,,adeptus_mechanicus,skitarii_rangers,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/131748_b84202639448__00.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,target: tech_priest sim=0.83
scripts/phase3/crops/adeptus_mechanicus/152309_226f9ef19983__02.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/156433_f2eb9d9b7c04__01.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/158799_145189898b83__00.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/158802_399102ceaae5__00.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/162517_bad6b66af189__00.jpg,annotation,,,,adeptus_mechanicus,tech_priest,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/18972_70bd55985ed8__00.jpg,annotation,,,,adeptus_mechanicus,tech_priest,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/18972_70bd55985ed8__01.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,target: tech_priest sim=0.84
scripts/phase3/crops/adeptus_mechanicus/18972_70bd55985ed8__02.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,target: tech_priest sim=0.89
scripts/phase3/crops/adeptus_mechanicus/19663_9a2b8f14ff96__18.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19663_9a2b8f14ff96__32.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19663_9a2b8f14ff96__38.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19664_2c4615e975f3__02.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19664_2c4615e975f3__37.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19664_2c4615e975f3__38.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19664_2c4615e975f3__42.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19665_5cd02e2bf5a5__01.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19665_5cd02e2bf5a5__02.jpg,annotation,,,,adeptus_mechanicus,tech_priest,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19665_5cd02e2bf5a5__09.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19665_5cd02e2bf5a5__17.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/adeptus_mechanicus/19665_5cd02e2bf5a5__18.jpg,annotation,,,,adeptus_mechanicus,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1032734__00.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: high_marshal_helbrecht sim=0.85
scripts/phase3/crops/black_templars/dakka_1032734__01.jpg,annotation,,,,black_templars,high_marshal_helbrecht,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038474__00.jpg,annotation,,,,black_templars,captain,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038474__01.jpg,annotation,,,,black_templars,primaris_lieutenant,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038474__02.jpg,annotation,,,,black_templars,primaris_librarian,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038475__00.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: captain sim=0.94
scripts/phase3/crops/black_templars/dakka_1038479__00.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: captain sim=0.90
scripts/phase3/crops/black_templars/dakka_1038479__01.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: eliminators sim=0.87
scripts/phase3/crops/black_templars/dakka_1038479__02.jpg,annotation,,,,black_templars,eliminators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038482__00.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: primaris_lieutenant sim=0.79
scripts/phase3/crops/black_templars/dakka_1038482__01.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: eliminators sim=0.83
scripts/phase3/crops/black_templars/dakka_1038482__02.jpg,annotation,,,,black_templars,crusader_squad,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038483__00.jpg,annotation,,,,black_templars,infiltrators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038483__01.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: incursors sim=0.93
scripts/phase3/crops/black_templars/dakka_1038483__02.jpg,annotation,,,,black_templars,incursors,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038483__03.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: incursors sim=0.94
scripts/phase3/crops/black_templars/dakka_1038483__04.jpg,annotation,,,,black_templars,infiltrators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038484__00.jpg,annotation,,,,black_templars,infiltrators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038484__01.jpg,annotation,,,,black_templars,infiltrators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038484__02.jpg,annotation,,,,black_templars,infiltrators,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038484__03.jpg,annotation,,,,black_templars,infiltrators,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1038484__04.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: incursors sim=0.93
scripts/phase3/crops/black_templars/dakka_1079608__00.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: sword_brethren sim=0.84
scripts/phase3/crops/black_templars/dakka_1079608__01.jpg,annotation,,,,black_templars,bladeguard_veterans,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1079608__02.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: bladeguard_veterans sim=0.83
scripts/phase3/crops/black_templars/dakka_1079608__04.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: bladeguard_veterans sim=0.81
scripts/phase3/crops/black_templars/dakka_1079608__05.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: sword_brethren sim=0.86
scripts/phase3/crops/black_templars/dakka_107983__00.jpg,annotation,,,,black_templars,crusader_squad,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1088376__00.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: captain sim=0.80
scripts/phase3/crops/black_templars/dakka_1098644__00.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: sword_brethren sim=0.92
scripts/phase3/crops/black_templars/dakka_1099260__00.jpg,annotation,,,,black_templars,crusader_squad,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1099260__01.jpg,annotation,,,,black_templars,sword_brethren,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1099260__02.jpg,annotation,,,,black_templars,crusader_squad,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1099260__03.jpg,annotation,,,,black_templars,crusader_squad,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1100443__00.jpg,annotation,,,,black_templars,crusader_squad,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/black_templars/dakka_1100443__01.jpg,annotation,,,,black_templars,,,,,,2026-04-16T22:29:40Z,target: sword_brethren sim=0.86
scripts/phase3/crops/chaos_daemons/134peee_53354dd6ae4c__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/134peee_c093ef28d4b2__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: bloodthirster sim=0.78
scripts/phase3/crops/chaos_daemons/1cmdxlw_0fd362d00c67__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: chaos_lord sim=0.80
scripts/phase3/crops/chaos_daemons/1cmdxlw_15517a2bac3b__00.jpg,annotation,,,,chaos_daemons,bloodthirster,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/1cmdxlw_372c5e161840__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: chaos_lord sim=0.79
scripts/phase3/crops/chaos_daemons/1cmdxlw_45a49f84d65c__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: bloodthirster sim=0.86
scripts/phase3/crops/chaos_daemons/1cmdxlw_94e9127ff1a5__00.jpg,annotation,,,,chaos_daemons,bloodthirster,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/1cmdxlw_bdf976f7726b__02.jpg,annotation,,,,chaos_daemons,bloodthirster,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/1e79php_91f18aa5a936__00.jpg,annotation,,,,chaos_daemons,chaos_lord,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1010450__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: seekers_of_slaanesh sim=0.77
scripts/phase3/crops/chaos_daemons/dakka_1010453__00.jpg,annotation,,,,chaos_daemons,seekers_of_slaanesh,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1018960__00.jpg,annotation,,,,chaos_daemons,rotigus,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1028256__00.jpg,annotation,,,,chaos_daemons,contorted_epitome,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1028257__00.jpg,annotation,,,,chaos_daemons,daemonettes,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1028257__01.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: chaos_lord sim=0.77
scripts/phase3/crops/chaos_daemons/dakka_1028257__04.jpg,annotation,,,,chaos_daemons,daemonettes,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1028288__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: contorted_epitome sim=0.91
scripts/phase3/crops/chaos_daemons/dakka_1059645__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: masque_of_slaanesh sim=0.83
scripts/phase3/crops/chaos_daemons/dakka_1059645__01.jpg,annotation,,,,chaos_daemons,masque_of_slaanesh,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1079590__02.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1079590__07.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1088422__00.jpg,annotation,,,,death_guard,foetid_bloat_drone,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1153753__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: daemon_prince sim=0.77
scripts/phase3/crops/chaos_daemons/dakka_1217981__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: bloodthirster sim=0.81
scripts/phase3/crops/chaos_daemons/dakka_1217981__01.jpg,annotation,,,,chaos_daemons,daemon_prince,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_1217990__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: chaos_lord sim=0.80
scripts/phase3/crops/chaos_daemons/dakka_138189__00.jpg,annotation,,,,chaos_daemons,,,,,,2026-04-16T22:29:40Z,target: daemon_prince sim=0.81
scripts/phase3/crops/chaos_daemons/dakka_138190__00.jpg,annotation,,,,chaos_daemons,daemon_prince,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_138193__00.jpg,annotation,,,,chaos_daemons,blight_drone,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_153064__02.jpg,annotation,,,,chaos_space_marines,helbrute,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_155472__00.jpg,annotation,,,,chaos_daemons,great_unclean_one,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_daemons/dakka_16387__00.jpg,annotation,,,,chaos_daemons,daemon_prince,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/1jh16n9_36f20b600403__00.jpg,annotation,,,,chaos_knights,,,,,,2026-04-16T22:29:40Z,target: khorne_lord_of_skulls sim=0.78
scripts/phase3/crops/chaos_knights/dakka_1022350__00.jpg,annotation,,,,chaos_knights,,,,,,2026-04-16T22:29:40Z,target: khorne_lord_of_skulls sim=0.79
scripts/phase3/crops/chaos_knights/dakka_1024805__00.jpg,annotation,,,,chaos_knights,war_dog,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1024805__02.jpg,annotation,,,,chaos_knights,,,,,,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1024835__00.jpg,annotation,,,,chaos_knights,war_dog,annotation,,,query,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1025399__00.jpg,annotation,,,,chaos_knights,war_dog,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1025399__02.jpg,annotation,,,,chaos_knights,war_dog,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1035172__00.jpg,annotation,,,,chaos_space_marines,venomcrawler,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1037677__00.jpg,annotation,,,,chaos_space_marines,sorcerer,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1037680__00.jpg,annotation,,,,death_guard,noxious_blightbringer,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1037681__00.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1037682__00.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
scripts/phase3/crops/chaos_knights/dakka_1037683__00.jpg,annotation,,,,death_guard,plague_marines,annotation,,,gallery,2026-04-16T22:29:40Z,
